央视频道1,#genre#
CCTV-1综合,http://113.56.95.223:8889/rtp/228.0.0.1:6108
CCTV-2财经,http://113.56.95.223:8889/rtp/228.0.0.2:6108
CCTV-3综艺,http://113.56.95.223:8889/rtp/228.0.0.156:7156
CCTV-4中文国际,http://113.56.95.223:8889/rtp/228.0.0.143:7143
CCTV-5体育,http://113.56.95.223:8889/rtp/228.0.0.112:6108
CCTV5+体育赛事,http://113.56.95.223:8889/rtp/228.0.0.17:6108
CCTV-6电影,http://113.56.95.223:8889/rtp/228.0.0.157:7157
CCTV-7国防军事,http://113.56.95.223:8889/rtp/228.0.0.7:6108
CCTV-8电视剧,http://113.56.95.223:8889/rtp/228.0.0.158:7158
CCTV-9纪录,http://113.56.95.223:8889/rtp/228.0.0.9:6108
CCTV-10科教,http://113.56.95.223:8889/rtp/228.0.0.10:6108
CCTV-11戏曲,http://113.56.95.223:8889/rtp/228.0.0.242:6108
CCTV-12社会与法,http://113.56.95.223:8889/rtp/228.0.0.12:6108
CCTV-13新闻,http://113.56.95.223:8889/rtp/228.0.0.202:6108
CCTV-14少儿,http://113.56.95.223:8889/rtp/228.0.0.14:6108
CCTV-15音乐,http://113.56.95.223:8889/rtp/228.0.0.15:6108
CCTV-16奥林匹克,http://113.56.95.223:8889/rtp/228.0.0.249:6108
CCTV-17农业农村,http://113.56.95.223:8889/rtp/228.0.0.161:7161
CHC家庭影院,http://113.56.95.223:8889/rtp/228.0.0.211:6108
CHC动作电影,http://113.56.95.223:8889/rtp/228.0.0.212:6108
CHC影迷电影,http://113.56.95.223:8889/rtp/228.0.0.233:6108
CCTV第一剧场,http://113.56.95.223:8889/rtp/228.0.0.235:6108
CCTV风云足球,http://113.56.95.223:8889/rtp/228.0.0.236:6108
CCTV怀旧剧场,http://113.56.95.223:8889/rtp/228.0.0.237:6108
CCTV4K,http://183.215.115.136:6610/180000001001/32023092211020848462000290559536/main.m3u8?IASHttpSessionId=OTT

央视频道2,#genre#
CCTV-1综合,http://122.189.103.29:8010/rtp/228.0.0.1:6108
CCTV-2财经,http://122.189.103.29:8010/rtp/228.0.0.2:6108
CCTV-3综艺,http://122.189.103.29:8010/rtp/228.0.0.156:7156
CCTV-4中文国际,http://122.189.103.29:8010/rtp/228.0.0.143:7143
CCTV-5体育,http://122.189.103.29:8010/rtp/228.0.0.112:6108
CCTV5+体育赛事,http://122.189.103.29:8010/rtp/228.0.0.17:6108
CCTV-6电影,http://122.189.103.29:8010/rtp/228.0.0.157:7157
CCTV-7国防军事,http://122.189.103.29:8010/rtp/228.0.0.7:6108
CCTV-8电视剧,http://122.189.103.29:8010/rtp/228.0.0.158:7158
CCTV-9纪录,http://122.189.103.29:8010/rtp/228.0.0.9:6108
CCTV-10科教,http://122.189.103.29:8010/rtp/228.0.0.10:6108
CCTV-11戏曲,http://122.189.103.29:8010/rtp/228.0.0.242:6108
CCTV-12社会与法,http://122.189.103.29:8010/rtp/228.0.0.12:6108
CCTV-13新闻,http://122.189.103.29:8010/rtp/228.0.0.202:6108
CCTV-14少儿,http://122.189.103.29:8010/rtp/228.0.0.14:6108
CCTV-15音乐,http://122.189.103.29:8010/rtp/228.0.0.15:6108
CCTV-16奥林匹克,http://122.189.103.29:8010/rtp/228.0.0.249:6108
CCTV-17农业农村,http://122.189.103.29:8010/rtp/228.0.0.161:7161
CHC家庭影院,http://122.189.103.29:8010/rtp/228.0.0.211:6108
CHC动作电影,http://122.189.103.29:8010/rtp/228.0.0.212:6108
CHC影迷电影,http://122.189.103.29:8010/rtp/228.0.0.233:6108
CCTV第一剧场,http://122.189.103.29:8010/rtp/228.0.0.235:6108
CCTV风云足球,http://122.189.103.29:8010/rtp/228.0.0.236:6108
CCTV怀旧剧场,http://122.189.103.29:8010/rtp/228.0.0.237:6108

央视频道3,#genre#
CCTV-1综合,http://122.189.103.39:8888/rtp/228.0.0.1:6108
CCTV-2财经,http://122.189.103.39:8888/rtp/228.0.0.2:6108
CCTV-3综艺,http://122.189.103.39:8888/rtp/228.0.0.156:7156
CCTV-4中文国际,http://122.189.103.39:8888/rtp/228.0.0.143:7143
CCTV-5体育,http://122.189.103.39:8888/rtp/228.0.0.112:6108
CCTV5+体育赛事,http://122.189.103.39:8888/rtp/228.0.0.17:6108
CCTV-6电影,http://122.189.103.39:8888/rtp/228.0.0.157:7157
CCTV-7国防军事,http://122.189.103.39:8888/rtp/228.0.0.7:6108
CCTV-8电视剧,http://122.189.103.39:8888/rtp/228.0.0.158:7158
CCTV-9纪录,http://122.189.103.39:8888/rtp/228.0.0.9:6108
CCTV-10科教,http://122.189.103.39:8888/rtp/228.0.0.10:6108
CCTV-11戏曲,http://122.189.103.39:8888/rtp/228.0.0.242:6108
CCTV-12社会与法,http://122.189.103.39:8888/rtp/228.0.0.12:6108
CCTV-13新闻,http://122.189.103.39:8888/rtp/228.0.0.202:6108
CCTV-14少儿,http://122.189.103.39:8888/rtp/228.0.0.14:6108
CCTV-15音乐,http://122.189.103.39:8888/rtp/228.0.0.15:6108
CCTV-16奥林匹克,http://122.189.103.39:8888/rtp/228.0.0.249:6108
CCTV-17农业农村,http://122.189.103.39:8888/rtp/228.0.0.161:7161
CHC家庭影院,http://122.189.103.39:8888/rtp/228.0.0.211:6108
CHC动作电影,http://122.189.103.39:8888/rtp/228.0.0.212:6108
CHC影迷电影,http://122.189.103.39:8888/rtp/228.0.0.233:6108
CCTV第一剧场,http://122.189.103.39:8888/rtp/228.0.0.235:6108
CCTV风云足球,http://122.189.103.39:8888/rtp/228.0.0.236:6108
CCTV怀旧剧场,http://122.189.103.39:8888/rtp/228.0.0.237:6108

央视频道4,#genre#
CCTV-1综合,http://183.92.26.142:8123/rtp/228.0.0.1:6108
CCTV-2财经,http://183.92.26.142:8123/rtp/228.0.0.2:6108
CCTV-3综艺,http://183.92.26.142:8123/rtp/228.0.0.156:7156
CCTV-4中文国际,http://183.92.26.142:8123/rtp/228.0.0.143:7143
CCTV-5体育,http://183.92.26.142:8123/rtp/228.0.0.112:6108
CCTV5+体育赛事,http://183.92.26.142:8123/rtp/228.0.0.17:6108
CCTV-6电影,http://183.92.26.142:8123/rtp/228.0.0.157:7157
CCTV-7国防军事,http://183.92.26.142:8123/rtp/228.0.0.7:6108
CCTV-8电视剧,http://183.92.26.142:8123/rtp/228.0.0.158:7158
