央视频道,#genre#
CCTV1,http://39.134.247.50:80/wh7f454c46tw2964199277_-672261803/180000001002/00000001000000000007000000001243/main.m3u8?
CCTV2,http://39.134.247.46:80/wh7f454c46tw3175973190_-2038791264/180000001002/00000001000000000008000000047431/main.m3u8?
CCTV3,http://39.134.247.46:80/wh7f454c46tw3259649398_1266148192/180000001002/00000001000000000008000000047432/main.m3u8?
CCTV4,http://39.134.247.42:80/wh7f454c46tw3341173307_158009663/180000001002/00000001000000000008000000047433/main.m3u8?
CCTV5,http://39.134.247.42:80/wh7f454c46tw3406948052_508022276/180000001002/00000001000000000008000000047434/main.m3u8?
CCTV5+,http://39.134.247.43:80/wh7f454c46tw351462748_-953578368/180000001002/00000001000000000008000000047442/main.m3u8?
CCTV6,http://39.134.247.45:80/wh7f454c46tw3606021817_-345339316/180000001002/00000001000000000008000000047435/main.m3u8?
CCTV7,http://39.134.247.43:80/wh7f454c46tw3786220028_-1832478256/180000001002/00000001000000000008000000047436/main.m3u8?
CCTV8,http://39.134.247.42:80/wh7f454c46tw3841404385_-1233171135/180000001002/00000001000000000008000000047437/main.m3u8?
CCTV9,http://39.134.247.44:80/wh7f454c46tw3910458149_117563063/180000001002/00000001000000000008000000047438/main.m3u8?
CCTV10,http://39.134.247.45:80/wh7f454c46tw3969947687_-383244586/180000001002/00000001000000000008000000047439/main.m3u8?
CCTV11,http://39.134.247.56:80/wh7f454c46tw4185746815_-56324082/180000001002/00000001000000000026000000446966/main.m3u8?
CCTV12,http://39.134.13.35:6610/180000001001/00000001000000001001000000000060/main.m3u8?IASHttpSessionId=OTT
CCTV13,http://39.134.247.55:80/wh7f454c46tw18920755_533923132/180000001002/00000001000000000050000000133801/main.m3u8?
CCTV14,http://39.134.247.44:80/wh7f454c46tw76374477_-969225724/180000001002/00000001000000000008000000047441/main.m3u8?
CCTV15,http://39.134.247.48:80/wh7f454c46tw139295552_-514884237/180000001002/00000001000000000026000000446967/main.m3u8?
CCTV16,http://39.134.247.54:80/wh7f454c46tw205235230_-183142337/180000001002/00000001000000000079000000434986/main.m3u8?
CCTV17,http://39.134.247.56:80/wh7f454c46tw290978199_912464482/180000001002/00000001000000000025000000024152/main.m3u8?
CETV1,http://39.134.247.49:80/wh7f454c46tw738738347_-1833709417/180000001002/00000001000000000016000000007220/main.m3u8?
CETV2,http://39.134.247.57:80/wh7f454c46tw2411009004_1232676135/180000001002/00000001000000000024000000361367/main.m3u8?
CETV4,http://39.134.247.56:80/wh7f454c46tw2478190718_1923507507/180000001002/00000001000000000024000000361368/main.m3u8?
CGTN,http://39.134.247.43:80/wh7f454c46tw524323228_-913123602/180000001002/00000000000000020000000000182292/main.m3u8?
卫视频道,#genre#
湖南卫视,http://39.134.247.51:80/wh7f454c46tw861011621_-1406899877/180000001002/00000001000000000007000000001242/main.m3u8?
北京卫视,http://39.134.247.47:80/wh7f454c46tw2889244335_-782123896/180000001002/00000001000000000008000000047443/main.m3u8?
